,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
224,Radisson Hotels,3.9,(1.6k Reviews),Private,"Minnetonka,Minnesota + 86 more",113 years old,10k-50k Employees (India)
225,Ceat Tyres,4.2,(1.6k Reviews),Public,"Mumbai,Maharashtra + 88 more",64 years old,5k-10k Employees (India)
226,KocharTech,4.4,(1.6k Reviews),Private,"Gurgaon/Gurugram,Haryana + 20 more",27 years old,5k-10k Employees (India)
227,KPIT Technologie...,3.6,(1.5k Reviews),Public,"Pune,Maharashtra + 21 more",32 years old,5k-10k Employees (India)
228,Patanjali Ayurve...,4.0,(1.5k Reviews),Private,"Haridwar,Uttarakhand + 207 more",16 years old,5k-10k Employees (India)
229,Dilip Buildcon,4.1,(1.5k Reviews),Public,"Bhopal,Madhya Pradesh + 129 more",35 years old,10k-50k Employees (India)
230,Dabur,4.2,(1.5k Reviews),Public,"Ghaziabad,Uttar Pradesh + 169 more",138 years old,5k-10k Employees (India)
231,RBL Bank,3.8,(1.5k Reviews),Public,"Mumbai,Maharashtra + 169 more",79 years old,1k-5k Employees (India)
232,PNB MetLife,3.7,(1.5k Reviews),Private,"Mumbai,Maharashtra + 221 more",21 years old,5k-10k Employees (India)
233,Bank of America,4.4,(2.6k Reviews),Private,Charlotte + 27 more,24 years old,10k-50k Employees (India)
234,Apollo Tyres,4.3,(1.5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 127 more",50 years old,5k-10k Employees (India)
235,Eureka Forbes,4.0,(1.5k Reviews),Private,"Mumbai,Maharashtra + 145 more",40 years old,5k-10k Employees (India)
236,CARS24.com,3.9,(1.5k Reviews),Private,"Gurgaon,Haryana + 124 more",7 years old,5k-10k Employees (India)
237,Kotak Mahindara ...,3.9,(1.5k Reviews),"Mumbai,Maharashtra + 152 more",21 years old,5k-10k Employees (India),
238,Tata AIA Life In...,4.0,(1.5k Reviews),Private,"Mumbai,Maharashtra + 184 more",21 years old,5k-10k Employees (India)
239,Landmark Group,4.3,(4.4k Reviews),Private,"Dubai Marina,Dubai + 98 more",49 years old,1k-5k Employees (India)
240,ITC Infotech In...,3.6,(1.5k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 38 more",22 years old,5k-10k Employees (India)
241,L&T Technology S...,3.4,(1.5k Reviews),"Vadodara/Baroda,Gujarat + 22 more",10 years old,10k-50k Employees (India),
242,Fortis Healthcar...,4.0,(1.5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 51 more",26 years old,5k-10k Employees (India)
243,Ekart Logistics,4.2,(1.5k Reviews),Private,"San Francisco,California + 352 more",13 years old,1k-5k Employees (India)
244,HCL Infosystems,3.8,(1.5k Reviews),Public,"Noida,Uttar Pradesh + 98 more",46 years old,10k-50k Employees (India)
245,Ola Cabs,3.7,(2k Reviews),Private,Bangalore + 82 more,12 years old,10k-50k Employees (India)
246,Lifestyle,4.3,(1.5k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 85 more",8 years old,10k-50k Employees (India)
247,Biocon Biologics...,4.0,(1.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 55 more",44 years old,10k-50k Employees (India)
248,Max Healthcare,4.2,(1.5k Reviews),Partnership,"Delhi/NCR,New Delhi + 49 more",21 years old,1k-5k Employees (India)
249,Pfizer,4.2,(2k Reviews),Public,"Chennai,Tamil Nadu + 90 more",18 years old,1k-5k Employees (India)
250,HDFC Ergo Genera...,4.0,(1.4k Reviews),Public,"Mumbai,Maharashtra + 161 more",20 years old,1k-5k Employees (India)
251,Suzuki,4.1,(6.7k Reviews),Private,"Vadodara/Baroda,Gujarat + 123 more",8 years old,1k-5k Employees (India)
252,JK Cement,4.2,(1.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 176 more",48 years old,1k-5k Employees (India)
253,Escorts Group,4.2,(1.6k Reviews),Public,"Faridabad,Haryana + 89 more",62 years old,5k-10k Employees (India)
254,G4S,4.2,(1.5k Reviews),Private,"Gurgaon/Gurugram,Haryana + 95 more",26 years old,1 Lakh+ Employees (India)
255,Life Insurance C...,4.3,(1.4k Reviews),Private,Mumbai + 332 more,66 years old,1 Lakh+ Employees (India)
256,Blue Dart Expres...,4.2,(1.5k Reviews),Public,"Mumbai,Maharashtra + 178 more",39 years old,10k-50k Employees (India)
257,GeBBS Healthcare...,3.9,(1.4k Reviews),Private,"Culver City,California + 10 more",17 years old,5k-10k Employees (India)
258,Nestle,4.1,(1.6k Reviews),Public,Vevey + 167 more,63 years old,5k-10k Employees (India)
259,Berger Paints,3.9,(1.5k Reviews),Public,"Kolkata,West Bengal + 169 more",99 years old,1k-5k Employees (India)
260,Aakash Institute,3.6,(1.6k Reviews),Private,"New Delhi,Delhi + 128 more",34 years old,1k-5k Employees (India)
261,Delhi Public Sch...,3.9,(1.4k Reviews),Public,"Greater Noida,Uttar Pradesh + 197 more",24 years old,1k-5k Employees (India)
262,Fiserv,3.9,(1.4k Reviews),Private,"Brookfield,Wisconsin + 26 more",51 years old,501-1k Employees (India)
263,Utkarsh Small Fi...,4.0,(1.4k Reviews),Public,"Varanasi,Uttar Pradesh + 190 more",13 years old,1k-5k Employees (India)
264,Mankind Pharma,4.2,(1.5k Reviews),Private,"New Delhi,Delhi + 135 more",27 years old,5k-10k Employees (India)
265,Voltas,4.1,(1.4k Reviews),Public,"Mumbai,Maharashtra + 129 more",68 years old,5k-10k Employees (India)
266,Tata AIG General...,4.2,(1.4k Reviews),Private,"Mumbai,Maharashtra + 170 more",22 years old,5k-10k Employees (India)
267,Reliance Digital,4.3,(1.4k Reviews),Private,"Mumbai,Maharashtra + 202 more",15 years old,1k-5k Employees (India)
268,AFCONS Infrastru...,4.5,(1.4k Reviews),Partnership,"Mumbai,Maharashtra + 65 more",63 years old,5k-10k Employees (India)
269,JMC Projects,4.4,(1.4k Reviews),Public,"Mumbai,Maharashtra + 85 more",40 years old,1k-5k Employees (India)
270,NIIT Technologie...,3.5,(1.3k Reviews),Public,"Noida,Uttar Pradesh + 77 more",18 years old,5k-10k Employees (India)
271,DHFL,4.6,(1.3k Reviews),Public,"Mumbai,Maharashtra + 189 more",38 years old,1k-5k Employees (India)
272,IndiGo,3.5,(1.3k Reviews),Private,"Boston,Massachusetts + 69 more",17 years old,10k-50k Employees (India)
273,PolicyBazaar,3.7,(1.3k Reviews),Private,"Gurgaon,Haryana + 25 more",14 years old,5k-10k Employees (India)
274,Raymond,4.1,(1.6k Reviews),Public,"Thane,Maharashtra + 100 more",97 years old,1k-5k Employees (India)
275,Sapient Corporat...,3.9,(1.5k Reviews),Private,"New York,New York + 15 more",32 years old,5k-10k Employees (India)
276,BHEL,4.3,(1.3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 82 more",58 years old,10k-50k Employees (India)
277,PVR Cinemas,4.3,(1.3k Reviews),Public,Gurgaon + 85 more,25 years old,501-1k Employees (India)
278,I Process Servic...,4.0,(1.3k Reviews),Private,"Mumbai,Maharashtra + 187 more",17 years old,1k-5k Employees (India)
279,Aarti Industries,4.2,(1.3k Reviews),Public,"Mumbai,Maharashtra + 30 more",47 years old,1k-5k Employees (India)
280,Cogent E Service...,3.4,(1.3k Reviews),Private,"Noida,Uttar Pradesh + 23 more",18 years old,10k-50k Employees (India)
281,ADP Solutions,4.2,(1.3k Reviews),Public,"Roseland,Louisiana + 10 more",73 years old,1k-5k Employees (India)
282,Aditya Birla Gro...,4.2,(12.7k Reviews),"Mumbai,Maharashtra + 179 more",165 years old,1 Lakh+ Employees (India),
283,Birla Sun Life I...,4.3,(1.3k Reviews),"Mumbai,Maharashtra + 262 more",22 years old,10k-50k Employees (India),
284,Poonawalla Finco...,4.1,(1.6k Reviews),Public,"Mumbai,Maharashtra + 239 more",34 years old,5k-10k Employees (India)
285,Exide Industries,3.8,(2.6k Reviews),Public,"Kolkata,West Bengal + 157 more",75 years old,1k-5k Employees (India)
286,ACT Fibernet,4.1,(1.3k Reviews),Private,"Daegu,Daegu + 32 more",22 years old,5k-10k Employees (India)
287,R1 RCM,4.0,(1.3k Reviews),Private,"Chicago,Illinois + 12 more",19 years old,1k-5k Employees (India)
288,R.R. Donnelley,4.1,(1.3k Reviews),Private,"Chicago,Illinois + 9 more",158 years old,5k-10k Employees (India)
289,Micro Labs,3.8,(1.3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 93 more",49 years old,5k-10k Employees (India)
290,The Himalaya Dru...,4.3,(1.3k Reviews),Private,"San Francisco,California + 141 more",92 years old,1k-5k Employees (India)
291,Ajanta Pharma,4.0,(1.3k Reviews),Public,"Mumbai,Maharashtra + 82 more",49 years old,1k-5k Employees (India)
292,Renault-Nissan,4.1,(1.3k Reviews),"Chennai,Tamil Nadu + 58 more",12 years old,5k-10k Employees (India),
293,Emcure Pharmaceu...,4.0,(1.3k Reviews),Private,Pune + 77 more,41 years old,5k-10k Employees (India)
294,Access Healthcar...,4.1,(1.3k Reviews),Private,"Dallas,Texas + 15 more",11 years old,1k-5k Employees (India)
295,Zensar Technolog...,3.8,(1.3k Reviews),Public,"Pune,Maharashtra + 16 more",31 years old,10k-50k Employees (India)
296,café Coffee day,4.1,(1.3k Reviews),Private,"Bengaluru,Karnataka + 77 more",26 years old,1k-5k Employees (India)
297,Cholamandalam MS...,4.0,(1.3k Reviews),JV,"Chennai,Tamil Nadu + 261 more",21 years old,50k-1 Lakh Employees (India)
298,United Phosphoru...,4.3,(1.3k Reviews),Public,"Mumbai,Maharashtra + 104 more",53 years old,1k-5k Employees (India)
299,Walmart,4.2,(10.8k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 67 more",13 years old,5k-10k Employees (India)
300,Honda,4.1,(3k Reviews),Private,"Greater Noida,Uttar Pradesh + 158 more",37 years old,5k-10k Employees (India)
301,Sterling & Wilso...,4.2,(1.2k Reviews),Private,"Mumbai,Maharashtra + 64 more",95 years old,1k-5k Employees (India)
302,Blue Star,4.1,(1.3k Reviews),Public,"Mumbai,Maharashtra + 99 more",79 years old,1k-5k Employees (India)
303,Bhushan Power & ...,4.0,(1.2k Reviews),Private,"Delhi/NCR,New Delhi + 47 more",52 years old,501-1k Employees (India)
304,Statestreet HCL ...,3.4,(1.2k Reviews),Private,New Delhi + 10 more,10 years old,5k-10k Employees (Global)
305,InterGlobe Techn...,3.6,(1.2k Reviews),Public,"Gurgaon/Gurugram,Haryana + 29 more",24 years old,1k-5k Employees (India)
306,Exide Life Insur...,3.7,(1.2k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 180 more",21 years old,1k-5k Employees (India)
307,Persistent Syste...,4.2,(1.2k Reviews),Public,"Pune,Maharashtra + 6 more",32 years old,10k-50k Employees (India)
308,Big Bazaar,4.2,(1.2k Reviews),Private,"Mumbai,Maharashtra + 148 more",21 years old,10k-50k Employees (India)
309,TVS Sundram Fast...,3.9,(1.2k Reviews),Public,"Chennai,Tamil Nadu + 34 more",56 years old,5k-10k Employees (India)
310,Britannia,4.2,(1.2k Reviews),Public,"Reading,Reading + 154 more",130 years old,1k-5k Employees (India)
311,Mahindra Holiday...,3.8,(1.2k Reviews),Private,"Chennai,Tamil Nadu + 85 more",26 years old,1k-5k Employees (India)
312,HDFC Sales,4.1,(1.2k Reviews),Private,"Mumbai,Maharashtra + 210 more",18 years old,10k-50k Employees (India)
313,Sonalika Tractor...,3.9,(1.2k Reviews),Private,"Hoshiarpur,Punjab + 113 more",53 years old,1k-5k Employees (India)
314,Indian Navy,4.6,(1.2k Reviews),Private,"Delhi/NCR,Delhi + 54 more",72 years old,50k-1 Lakh Employees (India)
315,Dalmia Bharat Ce...,4.1,(1.2k Reviews),Public,"Delhi/NCR,New Delhi + 127 more",87 years old,1k-5k Employees (India)
316,Shahi Exports,4.1,(1.2k Reviews),Private,"Faridabad,Haryana + 47 more",48 years old,1 Lakh+ Employees (India)
317,Tata Technologie...,3.5,(1.2k Reviews),Private,Singapore + 30 more,33 years old,5k-10k Employees (India)
318,Ambuja Cements,4.0,(1.2k Reviews),Public,"Mumbai,Maharashtra + 154 more",39 years old,5k-10k Employees (India)
319,AGS Health,4.2,(1.2k Reviews),Private,"Chennai,Tamil Nadu + 19 more",11 years old,1k-5k Employees (India)
320,Force Motors,3.4,(1.2k Reviews),Public,"Pune,Maharashtra + 69 more",64 years old,1k-5k Employees (India)
321,Birlasoft,3.8,(1.2k Reviews),Public,"Pune,Maharashtra + 20 more",27 years old,5k-10k Employees (India)
322,Mahindra Rural H...,4.2,(1.2k Reviews),Public,"Mumbai,Maharashtra + 277 more",15 years old,5k-10k Employees (India)
323,Thomson Reuters,4.4,(1.2k Reviews),Private,Toronto + 17 more,28 years old,10k-50k Employees (India)
324,Brakes India,4.2,(1.2k Reviews),"Chennai,Tamil Nadu + 52 more",60 years old,1k-5k Employees (India),
325,Lenskart,3.0,(1.2k Reviews),Private,"Delhi,NCT + 95 more",12 years old,1k-5k Employees (India)
326,Wockhardt,4.1,(1.6k Reviews),Public,"Mumbai,Maharashtra + 68 more",23 years old,5k-10k Employees (India)
327,3i Infotech,3.7,(1.2k Reviews),Public,"Mumbai,Maharashtra + 79 more",29 years old,5k-10k Employees (India)
328,Societe Generale,3.9,(1.1k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 13 more",22 years old,1k-5k Employees (India)
329,Indiabulls,3.8,(3.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 138 more",22 years old,10k-50k Employees (India)
330,Sobha,4.0,(1.2k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 30 more",27 years old,1k-5k Employees (India)
331,Amara Raja Group,4.2,(1.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 72 more",37 years old,10k-50k Employees (India)
332,Johnson Controls,4.0,(1.8k Reviews),Public,Cork + 50 more,27 years old,5k-10k Employees (India)
333,JK Tyres,3.9,(1.1k Reviews),Private,New Delhi + 104 more,71 years old,1k-5k Employees (India)
334,GE,4.2,(2k Reviews),Private,"Boston,Massachusetts + 52 more",130 years old,10k-50k Employees (India)
335,Adani Power,4.1,(1.3k Reviews),Public,"Ahmedabad,Gujrat + 78 more",16 years old,1k-5k Employees (India)
336,UNO Minda,4.1,(1.1k Reviews),Gurgaon + 53 more,64 years old,1k-5k Employees (India),
337,Parle Agro,4.3,(1.1k Reviews),Private,"Mumbai,Maharashtra + 129 more",38 years old,1k-5k Employees (India)
338,GVK Emergency Ma...,3.8,(1.1k Reviews),"Hyderabad/Secunderabad,Telangana + 97 more",17 years old,10k-50k Employees (India),
339,Whirlpool,4.3,(1.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 109 more",20 years old,1k-5k Employees (India)
340,Indus Towers,4.1,(1.1k Reviews),Private,"Gurgaon,Haryana + 93 more",15 years old,1k-5k Employees (India)
341,Shriram City,4.2,(1.1k Reviews),Public,"Chennai,Tamil Nadu + 323 more",36 years old,10k-50k Employees (India)
342,Tata Motors Fina...,4.3,(1.1k Reviews),Private,"Mumbai,Maharashtra + 193 more",65 years old,1k-5k Employees (India)
343,TVS Credit Servi...,4.3,(1.1k Reviews),Public,"Chennai,Tamil Nadu + 191 more",14 years old,10k-50k Employees (India)
344,Crompton Greaves,3.9,(1.1k Reviews),Public,"Mumbai,Maharashtra + 85 more",85 years old,1k-5k Employees (India)
345,Shree Cement,4.3,(1.1k Reviews),Public,"Kolkata,West Bengal + 125 more",43 years old,5k-10k Employees (India)
346,GSK Pharmaceutic...,4.3,(1.1k Reviews),Middlesex + 129 more,192 years old,1k-5k Employees (India),
347,V-mart,4.4,(1.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 181 more",20 years old,5k-10k Employees (India)
348,DS Group,4.1,(1.2k Reviews),Private,"Noida,Uttar Pradesh + 112 more",93 years old,1k-5k Employees (India)
349,Saint-Gobain,4.1,(1.2k Reviews),Private,Paris + 65 more,357 years old,10k-50k Employees (India)
350,Hyatt Regency,4.3,(1.1k Reviews),Private,"New Delhi,Delhi + 38 more",42 years old,1k-5k Employees (India)
351,Karvy Data Manag...,3.5,(1.1k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 84 more",14 years old,1k-5k Employees (India)
352,Yamaha Motor,3.9,(1.2k Reviews),Private,"Iwata,Shizuoka + 101 more",15 years old,1k-5k Employees (India)
353,Bharti AXA Life ...,3.9,(1.1k Reviews),Private,Mumbai + 187 more,16 years old,5k-10k Employees (India)
354,Gabriel India,4.4,(1.1k Reviews),Public,"Pune,Maharashtra + 33 more",61 years old,1k-5k Employees (India)
355,Delphi TVS,4.0,(1.1k Reviews),Private,"Kanchipuram,Tamil Nadu + 23 more",33 years old,1k-5k Employees (India)
356,Jet Airways,4.6,(1.1k Reviews),Public,"Mumbai,Maharashtra + 47 more",29 years old,10k-50k Employees (India)
357,Oberoi Group of ...,4.3,(1.1k Reviews),Private,"Delhi/NCR,Delhi + 31 more",88 years old,1k-5k Employees (India)
358,ICICI Securities,3.8,(1.1k Reviews),Public,"Mumbai,Maharashtra + 94 more",27 years old,5k-10k Employees (India)
359,Sigma Electric M...,3.9,(1.1k Reviews),Private,"Garner,North Carolina + 17 more",40 years old,1k-5k Employees (India)
360,Reliance Trends,4.3,(1.1k Reviews),Private,"Navi Mumbai,Maharashtra + 226 more",16 years old,1 Lakh+ Employees (India)
361,Sterlite Technol...,4.2,(1.1k Reviews),Public,"Pune,Maharashtra + 52 more",34 years old,1k-5k Employees (India)
362,SRF,4.3,(1.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 37 more",52 years old,1k-5k Employees (India)
363,Legato Health Te...,4.1,(1.1k Reviews),"Bangalore/Bengaluru,Karnataka + 7 more",5 years old,5k-10k Employees (India),
364,AXA Business Ser...,3.9,(1.1k Reviews),Private,Paris + 5 more,27 years old,1k-5k Employees (India)
365,Datamatics Globa...,3.7,(1.5k Reviews),Public,Mumbai + 21 more,47 years old,1k-5k Employees (India)
366,BT Group,4.3,(1.8k Reviews),Private,London + 12 more,176 years old,5k-10k Employees (India)
367,Tech Mahindra Bu...,3.5,(1.1k Reviews),"Mumbai,Maharashtra + 30 more",19 years old,1k-5k Employees (India),
368,Quest Global,3.6,(1.1k Reviews),Private,Singapore + 23 more,25 years old,10k-50k Employees (India)
369,Lucas-TVS,4.0,(1.3k Reviews),Private,"Chennai,Tamil Nadu + 46 more",61 years old,1k-5k Employees (India)
370,Piramal Group,4.1,(1.3k Reviews),Private,Mumbai + 95 more,42 years old,1k-5k Employees (India)
371,Myntra,4.2,(1.1k Reviews),Private,"Bangalore,Karnataka + 80 more",15 years old,1k-5k Employees (India)
372,Endurance Techno...,3.8,(1.1k Reviews),Public,"Aurangabad,Maharashtra + 28 more",37 years old,1k-5k Employees (India)
373,Lodha group,4.3,(1.1k Reviews),Private,"Mumbai,Maharashtra + 16 more",42 years old,1k-5k Employees (India)
374,Kalpataru Power ...,4.1,(1.1k Reviews),Public,"Mumbai,Maharashtra + 131 more",41 years old,1k-5k Employees (India)
375,IKS Health,3.5,(1.1k Reviews),Private,"Mumbai,Maharashtra + 9 more",15 years old,1k-5k Employees (India)
376,Aircel,4.4,(1.1k Reviews),Private,"Gurgaon/Gurugram,Haryana + 113 more",23 years old,5k-10k Employees (India)
377,Sopra Steria,4.2,(1.1k Reviews),Private,"Paris,Ile-de-France + 9 more",54 years old,5k-10k Employees (India)
378,Future Generali ...,3.9,(1.1k Reviews),Private,Mumbai + 136 more,15 years old,1k-5k Employees (India)
379,Bharat Petroleum,4.1,(1.1k Reviews),Private,"Mumbai,Maharashtra + 171 more",70 years old,50k-1 Lakh Employees (India)
380,Novartis Healthc...,4.1,(1.3k Reviews),Public,"Mumbai,Maharashtra + 55 more",26 years old,1k-5k Employees (India)
381,Cadila Pharmaceu...,4.0,(5.8k Reviews),Public,"Ahmedabad,Gujrat + 91 more",71 years old,5k-10k Employees (India)
382,Kansai Nerolac P...,3.9,(1k Reviews),Public,"Mumbai,Maharashtra + 117 more",102 years old,1k-5k Employees (India)
383,Tata Capital Fin...,4.3,(1k Reviews),Public,Mumbai + 116 more,15 years old,1k-5k Employees (India)
384,Coromandel Inter...,4.2,(1k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 126 more",61 years old,10k-50k Employees (India)
385,Grasim Industrie...,4.2,(6.6k Reviews),Public,Nagda + 48 more,75 years old,10k-50k Employees (India)
386,Power Mech Proje...,3.9,(1k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 82 more",15 years old,1k-5k Employees (India)
387,Reliance SMSL,4.2,(1k Reviews),Public,Mumbai + 275 more,15 years old,1k-5k Employees (India)
388,Parle Products,4.1,(1k Reviews),Private,Mumbai + 134 more,93 years old,1k-5k Employees (India)
389,Mahindra Logisti...,4.2,(1k Reviews),Public,"Mumbai,Maharashtra + 91 more",22 years old,1k-5k Employees (India)
390,Taj Hotels Resor...,4.3,(1k Reviews),"Mumbai,Maharashtra + 61 more",119 years old,10k-50k Employees (India),
391,JCB,4.0,(1k Reviews),Private,"Rocester,Staffordshire + 67 more",77 years old,1k-5k Employees (India)
392,Aon,4.0,(1k Reviews),Private,London + 17 more,82 years old,10k-50k Employees (India)
